recommended_route_type_v2,records,actual_sla_breaches,sla_breach_rate,total_actual_delay_time,median_actual_delay_time,median_predicted_time,median_distance,sla_breach_rate_pct
Carting,3425,3143,0.9176642335766423,174928.0,28.0,61.05978,26.61805690395035,91.77
FTL,1849,1815,0.981611681990265,388886.0,84.0,149.89183,56.64248359506736,98.16
