model,MAE,RMSE,R2,MAPE
XGBoost,36.021615516158455,104.30130188573882,0.9291847498842569,26.99833407375558
Random Forest,36.3828156996587,98.421020856306,0.9369444866818994,26.624469307629152
Gradient Boosting,38.05543499719078,98.04333083430596,0.937427508341532,30.10915848197025
Linear Regression,2895724220654.4307,3594878520892.2637,-8.412319776521683e+19,4441404190002.564
