model,MAE,RMSE,R2,MAPE
Gradient Boosting,37.793689425869914,120.11409218149797,0.9060849354634769,28.543102692820842
XGBoost,38.30270314876627,122.67486592888257,0.9020378024794627,27.676426453349368
Random Forest,39.775212362533175,127.68182080822352,0.8938779894449504,27.71782895882831
Linear Regression,2596558700511.212,3214263180612.41,-6.7252773872182075e+19,3958209469045.523
