model,MAE,RMSE,R2,MAPE
Random Forest,42.575783086841106,108.53286000101537,0.9233221671843006,36.877916270576755
XGBoost,47.8339285675124,116.75835798094788,0.9112592096836458,39.24282318034246
Gradient Boosting,49.74816755511194,119.53104780046753,0.906994466608039,41.83932336967044
Linear Regression,54.32137667346959,126.97560658160582,0.8950486746890529,49.460589866272095
