delay_risk_category_v2,recommended_route_type_v2,records,median_predicted_time,median_distance,median_risk_score
High,FTL,1055,119.137276,38.71651399874453,0.46159849912042256
Low,Carting,2637,62.368755,31.3472068487954,0.3183662826578759
Medium,Carting,788,58.22676,15.99270060723241,0.3523008612003624
Medium,FTL,794,194.62314,78.45787720567075,0.3507268231892008
