model,baseline_MAE,baseline_RMSE,baseline_R2,baseline_MAPE,graph_MAE,graph_RMSE,graph_R2,graph_MAPE,MAE_improvement_pct,RMSE_improvement_pct
Gradient Boosting,49.74816755511194,119.53104780046752,0.906994466608039,41.83932336967044,37.793689425869914,120.11409218149797,0.9060849354634769,28.543102692820842,24.029986865342597,-0.48777651644426295
XGBoost,47.8339285675124,116.75835798094788,0.9112592096836458,39.24282318034246,38.30270314876627,122.67486592888257,0.9020378024794627,27.676426453349368,19.925658845465392,-5.067309998398676
Random Forest,42.57578308684111,108.53286000101537,0.9233221671843006,36.87791627057676,39.775212362533175,127.68182080822352,0.8938779894449504,27.71782895882831,6.577849005373926,-17.643468353297802
Linear Regression,54.32137667346959,126.97560658160582,0.8950486746890529,49.460589866272095,2596558700511.212,3214263180612.41,-6.7252773872182075e+19,3958209469045.523,-4779994284874.306,-2531402107080.83
