source_center,destination_center,trips,median_actual_time,mean_actual_time,median_osrm_time,mean_osrm_time,median_distance,median_osrm_distance,median_delay_ratio,mean_delay_ratio,delay_rate,delayed_trips,corridor
IND226004AAA,IND226024AAA,1,35.0,35.0,13.0,13.0,11.98548393632328,19.077,2.6923076923076925,2.6923076923076925,1.0,1,IND226004AAA -> IND226024AAA
IND231205AAA,IND231216AAA,3,66.0,65.33333333333333,21.0,22.0,17.208239611948745,22.9972,3.3,2.9476190476190474,1.0,3,IND231205AAA -> IND231216AAA
IND231208AAA,IND231217AAA,6,42.5,45.5,23.5,23.5,19.206997451244696,33.65495,1.8070652173913042,1.9302536231884055,1.0,6,IND231208AAA -> IND231217AAA
IND231217AAA,IND231225AAB,7,61.0,61.57142857142857,26.0,25.571428571428573,28.28530657175257,36.3769,2.4,2.4092307692307693,1.0,7,IND231217AAA -> IND231225AAB
IND231225AAB,IND486886AAA,7,44.0,42.857142857142854,27.0,25.571428571428573,19.344686362931288,23.9771,1.6296296296296295,1.6767480667480668,1.0,7,IND231225AAB -> IND486886AAA
IND232101AAB,IND232104AAB,7,42.0,35.714285714285715,11.0,11.714285714285714,12.741076618729894,14.0639,3.230769230769231,3.0922743922743927,1.0,7,IND232101AAB -> IND232104AAB
IND232104AAB,IND221010AAB,1,72.0,72.0,30.0,30.0,32.514042111347685,36.537,2.4,2.4,1.0,1,IND232104AAB -> IND221010AAB
IND232104AAB,IND232327AAA,1,162.0,162.0,63.0,63.0,57.145547121366455,67.4706,2.571428571428572,2.571428571428572,1.0,1,IND232104AAB -> IND232327AAA
IND232104AAB,IND233221AAC,2,142.0,142.0,51.5,51.5,29.463994820218502,70.1466,2.747171945701357,2.747171945701357,1.0,2,IND232104AAB -> IND233221AAC
IND233001AAA,IND275101AAA,3,100.0,100.0,29.0,29.333333333333332,39.36499014841647,41.6421,3.4482758620689653,3.410727969348659,1.0,3,IND233001AAA -> IND275101AAA
IND233001AAA,IND275503AAA,1,145.0,145.0,42.0,42.0,56.46316425866301,59.8164,3.452380952380953,3.452380952380953,1.0,1,IND233001AAA -> IND275503AAA
IND241124AAB,IND242001AAA,4,36.0,35.5,16.5,16.25,21.54319936003089,23.759149999999998,2.1856617647058822,2.1947916666666667,1.0,4,IND241124AAB -> IND242001AAA
IND242001AAA,IND242307AAB,1,81.0,81.0,13.0,13.0,18.796416321533226,19.7927,6.230769230769231,6.230769230769231,1.0,1,IND242001AAA -> IND242307AAB
IND242221AAA,IND207247AAB,5,283.0,261.2,90.0,90.2,52.14807075559262,89.5042,3.10989010989011,2.8953113553113554,1.0,5,IND242221AAA -> IND207247AAB
